"Variable","Comparison","diff","lwr","upr","p adj","Significant"
"age_death","AD-NC_SYM-AD-NC_ASYM",1.60661568414278,-0.297894374952724,3.51112574323829,0.131418001789709,"No"
"age_death","control-AD-NC_ASYM",-1.88313490725702,-3.7935845238616,0.0273147093475676,0.0550207597821382,"No"
"age_death","MCI-AD-NC_ASYM",1.0209789209636,-0.740235929851629,2.78219377177883,0.440457976417522,"No"
"age_death","control-AD-NC_SYM",-3.4897505913998,-5.33948977049618,-1.64001141230342,1.02813362096166e-05,"Yes"
"age_death","MCI-AD-NC_SYM",-0.585636763179181,-2.28080490936164,1.10953138300328,0.808940887476729,"No"
"age_death","MCI-control",2.90411382822062,1.20227534698325,4.60595230945798,8.39580804204987e-05,"Yes"
"educ","AD-NC_SYM-AD-NC_ASYM",0.24430479183032,-1.26007224554988,1.74868182921052,0.975144811341001,"No"
"educ","control-AD-NC_ASYM",-0.399203980099504,-1.90827268812023,1.10986472792122,0.903475458708332,"No"
"educ","MCI-AD-NC_ASYM",-0.565264586160108,-1.95645239680246,0.825923224482247,0.720521119965722,"No"
"educ","control-AD-NC_SYM",-0.643508771929824,-2.10462216058615,0.817604616726501,0.666679309164939,"No"
"educ","MCI-AD-NC_SYM",-0.809569377990428,-2.14858673914124,0.529447983160385,0.402300838026645,"No"
"educ","MCI-control",-0.166060606060604,-1.51034688077809,1.17822566865688,0.988752532785162,"No"
"Sex","AD-NC_SYM-AD-NC_ASYM",-0.0449725058915946,-0.245723951496046,0.155778939712857,0.938480394769716,"No"
"Sex","control-AD-NC_ASYM",0.144676616915423,-0.0567009082156261,0.346054142046472,0.249600851428096,"No"
"Sex","MCI-AD-NC_ASYM",0.0858887381275442,-0.0997581822615783,0.271535658516667,0.630610457900969,"No"
"Sex","control-AD-NC_SYM",0.189649122807018,-0.00532900945401513,0.38462725506805,0.0599596301138212,"No"
"Sex","MCI-AD-NC_SYM",0.130861244019139,-0.0478237958752509,0.309546283913528,0.233800615237228,"No"
"Sex","MCI-control",-0.0587878787878788,-0.238176028334299,0.120600270758541,0.832243117549235,"No"
"Study (0=MAP, 1=ROS)","AD-NC_SYM-AD-NC_ASYM",0.0697172034564021,-0.145890588292338,0.285324995205143,0.837761780308547,"No"
"Study (0=MAP, 1=ROS)","control-AD-NC_ASYM",-0.0690547263681592,-0.285334929833699,0.14722547709738,0.842834489636797,"No"
"Study (0=MAP, 1=ROS)","MCI-AD-NC_ASYM",-0.104206241519674,-0.303591717572083,0.0951792345327348,0.531986811546456,"No"
"Study (0=MAP, 1=ROS)","control-AD-NC_SYM",-0.138771929824561,-0.348179161785051,0.0706353021359287,0.319406730943519,"No"
"Study (0=MAP, 1=ROS)","MCI-AD-NC_SYM",-0.173923444976076,-0.365831835743404,0.0179849457912507,0.0911490339297131,"No"
"Study (0=MAP, 1=ROS)","MCI-control",-0.0351515151515152,-0.227815048273982,0.157512017970952,0.965352580131352,"No"
